Language,Extension,Icon
bash,.sh,programming_bash
c,,programming_c
cplusplus,.cpp,programming_cplusplus
csharp,.cs,programming_csharp
objectivec,,programming_objectivec
haskel,.hs,programming_haskel
swift,,programming_swift
rust,.rs,programming_rust
r,.r,programming_r
php,.php,programming_php
ruby,.rb,programming_ruby
python,.py,programming_python
lua,.lua,programming_lua
html,.html,programming_html
javascript,.js,programming_javascript
typescript,.ts,programming_typescript
perl,.pl,programming_perl
json,.json,programming_json
markdown,.md,programming_markdown
yaml,.yml,
